Rank,Nickname,Full Name,Category,Followers,Country,Engagement Auth,Engagement Avg
1,eilirjani,HANKO,Adult content,12.3M,,77.8K,176.1K
2,pandorakaaki,Pandora Kaaki,Adult content,12.4M,,67K,114.3K
3,tiff08,Tiff Villagomez,Adult content,5.5M,,88.2K,185.6K
4,sophiedee,Sophie Dee,Adult content,12.7M,,43K,79.8K
5,vismaramartina,Martina Vismara,Adult content,8.2M,,72K,112.9K
6,veradijkmans,Vera Dijkmans,Adult content,5.5M,,86.9K,169K
7,viking.barbie,Viking B@rbie,Adult content,10.8M,,43.5K,74K
8,nikitadragun,Nikita Dragun,Beauty,8.1M,,68.8K,96.6K
9,rhearipley_wwe,Rhea Ripley,Adult content,5.2M,,89.8K,140.5K
10,nataliemonroe,nati,Adult content,3M,,122.4K,221.9K
11,kristenhancher,Kris,Adult content,4.5M,,79.6K,140.3K
12,theangelawhite,ANGELA WHITE,Adult content,9.8M,,39K,64.5K
13,spencer.barbosa,spencer e barbosaâœ¨ğŸ¦‹ğŸ’•ğŸ§¸,Adult content,3M,,142.7K,183.1K
14,francety,Francia James,Adult content,11.7M,,22.4K,42.1K
15,yuliett.torres,Yuliett Torres,Adult content,10.4M,,27.3K,47.4K
16,evamenta,Eva Menta,Adult content,5.9M,,37.7K,76.2K
17,gatitayan777,Gatita Yan ä½ çš„åœ†åœ†,Adult content,3.1M,,73.6K,138.5K
18,kyso_lo,Joana Taylor ğŸ–¤,Gaming,273.1K,,1.1M,1.4M
19,the_amanda_nicole,Amanda Nicole,Humor &  Fun &  Happiness,8.5M,,23.5K,48K
20,riae_,RIAE,Adult content,4.5M,,52.2K,78.9K
21,layna_boo,Laynaboo,Adult content,12.5M,,14K,22.6K
22,ringo_lyn,á„‹á…µá„…á…µá†« [ã‚¤ãƒ»ãƒªãƒ³LEE LYNæç’˜]Official,Adult content,562.1K,,220.6K,337.9K
23,laurysdyva,Laurys Rodriguez,Adult content,8.5M,,9.8K,19.4K
24,jessicanigri,Jessica Nigri,Adult content,3.7M,,29.1K,40.8K
25,whitegirlpoliticking,Alexis Texas,Adult content,6M,,16.4K,24.9K
26,realnicoleaniston,Nicole Aniston,Adult content,3.7M,,23K,37.9K
27,tru.kait,Kaitlin Trujillo,Adult content,2.2M,,42.1K,56.8K
28,bratz,Bratz,Accessories &  Jewellery,2.3M,,38.6K,53.5K
29,dakota.james,,Adult content,6.4M,,7.9K,15.1K
30,morisakitomomi,æ£®å’²æ™ºç¾ Tomomi Morisaki,Adult content,4.8M,,9.5K,15.3K
31,girlsbuildingempires,Girls Building Empires,Adult content,2.3M,,22.8K,28.7K
32,matthewandpaul,Matthew & Paul,Adult content,1.9M,,25.4K,33.8K
33,heartthrobanderson,Rob Anderson,Adult content,1.1M,,34.5K,54.9K
34,letrileylive,Riley Reid,Lifestyle,2.1M,,16.8K,25.2K
35,lewishancoxfilms,Lewis Hancox,Adult content,467.2K,,71.8K,97.2K
36,sabrina_sidoti,ğ“¢ğ“ªğ“«ğ“»ğ“²ğ“·ğ“ª ğ“¢ğ“²ğ“­ğ“¸ğ“½ğ“² â„¢ï¸,Adult content,2M,,8.6K,21.6K
37,mysticfalls.official,The Vampire Diaries,Shows,541.3K,,50.5K,75.5K
38,dylanmulvaney,Dylan Mulvaney,Adult content,1.5M,,12.3K,25.6K
39,isabelladavis6,BELLA DAVIS,Adult content,264.4K,,104.3K,162.9K
40,femalebillionairesclub,Female Billionaires Club,Adult content,661.5K,,32.8K,40.8K
41,drag0n_mistress,Su,Adult content,378.4K,,56.7K,74.1K
42,thegoddessboys,Adrian & RJ,Adult content,1.4M,,14.8K,20K
43,pattiegonia,Pattie Gonia,Adult content,722K,,27.3K,37.7K
44,blackedxofficial,BLACKED,Modeling,2.9M,,5.9K,9.2K
45,jessiepaege,Jessie Paege,Adult content,1M,,18K,24.9K
46,itsalinalopezofficial,Alina Lopez,Modeling,1.8M,,8.5K,14.3K
47,vicky_aisha,Vicky Aisha,Adult content,3.2M,,4.3K,7.6K
48,shop_aif,RaeShanda Lias,Adult content,976.4K,,16.3K,23K
49,beautygrammss,Beautygrammss,Adult content,294.1K,,52.4K,86.9K
50,_dazzling_purple_world_,ğ¬ğ–ğ–—ğ–šğ–™ğ– âŸ­âŸ¬,Adult content,67.7K,,213.6K,398.6K
